State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,NOTIONAL_PHYSICAL,Location Type,Type Of Facility,Nin_N
Karnataka,Koppal,Kushtagi,sub_cen,HOOLGERA,NA,15.9554,76.056,Y,Physical,Rural,Public,NA
Karnataka,Bagalkote,Badami,sub_cen,MUSTIGERI,NA,15.9557,75.5718,Y,Physical,Rural,Public,7567775460
Karnataka,Raichur,Lingsagur,sub_cen,MASKI-B,NA,15.9569,76.6544,Y,Physical,Rural,Public,7158568449
Karnataka,Belgaum,Ramadurga,sub_cen,H.TORGAL,NA,15.9573,75.2669,Y,Physical,Rural,Public,2514572151
Karnataka,Raichur,Sindhanoor,sub_cen,BALGANUR-A,NA,15.9573,76.7557,Y,Physical,Rural,Public,6776538750
Karnataka,Raichur,Sindhanoor,sub_cen,BALGANUR B,NA,15.9573,76.7559,Y,Physical,Rural,Public,7748636169
Karnataka,Bagalkote,Hunagund,sub_cen,KANDAGAL,NA,15.9586,76.2727,Y,Physical,Rural,Public,1815361611
Karnataka,Bagalkote,Hunagund,sub_cen,KANDAGAL-B,NA,15.9586,76.2727,Y,Physical,Rural,Public,1615132436
Karnataka,Belgaum,Soundatti,sub_cen,RAINAPURA,NA,15.959,75.0347,Y,Physical,Rural,Public,7162444686
Karnataka,Raichur,Raichur,sub_cen,ELEBICHALI,NA,15.9591,77.3197,Y,Physical,Rural,Public,3735188371
Karnataka,Belgaum,Soundatti,sub_cen,YARAZARVI,NA,15.9601,74.9499,Y,Physical,Rural,Public,7644527769
Karnataka,Bagalkote,Hunagund,sub_cen,ILAKL A,NA,15.9627,76.1233,Y,Physical,Rural,Public,2148213115
Karnataka,Raichur,Manvi,sub_cen,HIRE-KOTNEKAL,NA,15.9627,76.9492,Y,Physical,Rural,Public,6368431471
Karnataka,Bagalkote,Hunagund,sub_cen,ILAKL B,NA,15.9627,76.1235,Y,Physical,Rural,Public,NA
